7,STAY,-1,2013-10-02 00:00:00,80.51539600,7.64947000,-1,2013-10-02 23:59:59,80.51539600,7.64947000,0.000,86399,0.000,1|2013-10-02 00:00:00|7.64947000|80.51539600|-1;2|2013-10-02 23:59:59|7.64947000|80.51539600|-1
8,STAY,-1,2013-10-01 00:00:00,80.03929100,7.23624700,-1,2013-10-01 23:59:59,80.03929100,7.23624700,0.000,86399,0.000,1|2013-10-01 00:00:00|7.23624700|80.03929100|-1;2|2013-10-01 23:59:59|7.23624700|80.03929100|-1
9,STAY,58179,2013-10-02 00:00:00,81.44163340,7.92979165,58179,2013-10-02 15:06:44,81.44163340,7.92979165,0.000,54404,0.000,1|2013-10-02 00:00:00|7.92979165|81.44163340|58179;2|2013-10-02 15:06:44|7.92979165|81.44163340|58179
9,MOVE,-1,2013-10-02 15:06:44,81.44163340,7.92979165,59941,2013-10-02 19:22:17,81.46901375,7.98581210,6891.940,15333,1.618,1|2013-10-02 15:06:44|7.92979165|81.44163340|-1;2|2013-10-02 19:22:17|7.98581210|81.46901375|59941
9,STAY,59941,2013-10-02 19:22:17,81.46901375,7.98581210,59941,2013-10-02 23:59:59,81.46901375,7.98581210,0.000,16662,0.000,1|2013-10-02 19:22:17|7.98581210|81.46901375|59941;2|2013-10-02 23:59:59|7.98581210|81.46901375|59941
10,STAY,33935,2013-10-02 00:00:00,80.10440835,7.09642580,33935,2013-10-02 07:03:32,80.10440835,7.09642580,0.000,25412,0.000,1|2013-10-02 00:00:00|7.09642580|80.10440835|33935;2|2013-10-02 07:03:32|7.09642580|80.10440835|33935
10,MOVE,-1,2013-10-02 07:03:32,80.10440835,7.09642580,33935,2013-10-02 20:31:04,80.10515620,7.09586370,103.391,48452,0.008,1|2013-10-02 07:03:32|7.09642580|80.10440835|-1;2|2013-10-02 14:17:06|7.12844900|80.11115600|-1;3|2013-10-02 16:59:24|7.14641500|80.10217200|-1;4|2013-10-02 20:31:04|7.09586370|80.10515620|33935
10,STAY,33935,2013-10-02 20:31:04,80.10515620,7.09586370,33935,2013-10-02 23:59:59,80.10515620,7.09586370,0.000,12535,0.000,1|2013-10-02 20:31:04|7.09586370|80.10515620|33935;2|2013-10-02 23:59:59|7.09586370|80.10515620|33935
11,STAY,27137,2013-10-02 00:00:00,79.91942286,6.85275845,27137,2013-10-02 12:17:20,79.91942286,6.85275845,0.000,44240,0.000,1|2013-10-02 00:00:00|6.85275845|79.91942286|27137;2|2013-10-02 12:17:20|6.85275845|79.91942286|27137
11,MOVE,-1,2013-10-02 12:17:20,79.91942286,6.85275845,26884,2013-10-02 20:38:48,79.90280786,6.83816410,2444.915,30088,0.293,1|2013-10-02 12:17:20|6.85275845|79.91942286|-1;2|2013-10-02 13:04:53|6.89488800|79.87759500|-1;3|2013-10-02 17:34:12|6.84099000|79.92251000|-1;4|2013-10-02 20:38:48|6.83816410|79.90280786|26884
11,STAY,26884,2013-10-02 20:38:48,79.90280786,6.83816410,26884,2013-10-02 23:59:59,79.90280786,6.83816410,0.000,12071,0.000,1|2013-10-02 20:38:48|6.83816410|79.90280786|26884;2|2013-10-02 23:59:59|6.83816410|79.90280786|26884
12,STAY,29639,2013-10-02 00:00:00,79.84639823,6.93942740,29639,2013-10-02 14:09:12,79.84639823,6.93942740,0.000,50952,0.000,1|2013-10-02 00:00:00|6.93942740|79.84639823|29639;2|2013-10-02 14:09:12|6.93942740|79.84639823|29639
12,MOVE,-1,2013-10-02 14:09:12,79.84639823,6.93942740,29405,2013-10-02 17:19:21,80.01379090,6.92705745,18549.220,11409,5.853,1|2013-10-02 14:09:12|6.93942740|79.84639823|-1;2|2013-10-02 17:19:21|6.92705745|80.01379090|29405
12,STAY,29405,2013-10-02 17:19:21,80.01379090,6.92705745,29405,2013-10-02 17:42:16,80.01379090,6.92705745,0.000,1375,0.000,1|2013-10-02 17:19:21|6.92705745|80.01379090|29405;2|2013-10-02 17:42:16|6.92705745|80.01379090|29405
12,MOVE,-1,2013-10-02 17:42:16,80.01379090,6.92705745,29909,2013-10-02 22:26:42,80.02401385,6.93938535,1770.606,17066,0.374,1|2013-10-02 17:42:16|6.92705745|80.01379090|-1;2|2013-10-02 18:12:31|6.94878700|80.02132400|-1;3|2013-10-02 19:00:58|6.93082100|80.00335800|-1;4|2013-10-02 22:26:42|6.93938535|80.02401385|29909
12,STAY,29909,2013-10-02 22:26:42,80.02401385,6.93938535,29909,2013-10-02 23:59:59,80.02401385,6.93938535,0.000,5597,0.000,1|2013-10-02 22:26:42|6.93938535|80.02401385|29909;2|2013-10-02 23:59:59|6.93938535|80.02401385|29909
13,STAY,27632,2013-10-02 00:00:00,79.86014139,6.86396200,27632,2013-10-02 18:15:38,79.86014139,6.86396200,0.000,65738,0.000,1|2013-10-02 00:00:00|6.86396200|79.86014139|27632;2|2013-10-02 18:15:38|6.86396200|79.86014139|27632
13,MOVE,-1,2013-10-02 18:15:38,79.86014139,6.86396200,27633,2013-10-02 18:20:38,79.86853252,6.86612085,957.681,300,11.492,1|2013-10-02 18:15:38|6.86396200|79.86014139|-1;2|2013-10-02 18:20:38|6.86612085|79.86853252|27633
13,STAY,27633,2013-10-02 18:20:38,79.86853252,6.86612085,27633,2013-10-02 22:37:24,79.86853252,6.86612085,0.000,15406,0.000,1|2013-10-02 18:20:38|6.86612085|79.86853252|27633;2|2013-10-02 22:37:24|6.86612085|79.86853252|27633
13,MOVE,-1,2013-10-02 22:37:24,79.86853252,6.86612085,27885,2013-10-02 22:42:24,79.87922384,6.87779380,1750.078,300,21.001,1|2013-10-02 22:37:24|6.86612085|79.86853252|-1;2|2013-10-02 22:42:24|6.87779380|79.87922384|27885
13,STAY,27885,2013-10-02 22:42:24,79.87922384,6.87779380,27885,2013-10-02 23:59:59,79.87922384,6.87779380,0.000,4655,0.000,1|2013-10-02 22:42:24|6.87779380|79.87922384|27885;2|2013-10-02 23:59:59|6.87779380|79.87922384|27885
